# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "/mnt/data/gdata/human/hg38/chr21/homo_sapiens_hg38_chr21.gtf" "-o" "../03_count/siC1_chr21_counts.txt" "-R" "BAM" "siC1_chr21_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	siC1_chr21_Aligned.sortedByCoord.out.bam
ENSG00000277777	21	5597390	5597490	+	101	0
ENSG00000279186	21	5703182	5705637	-	2456	0
ENSG00000279784	21;21	5705345;5706963	5705453;5707160	+;+	307	0
ENSG00000279064	21;21	5707004;5709154	5707157;5709456	-;-	457	0
ENSG00000274559	21	5972956	5973333	-	378	0
ENSG00000280013	21	6008604	6008810	+	207	0
ENSG00000279769	21	6034690	6036093	+	1404	0
ENSG00000280191	21;21;21;21;21;21;21;21;21;21;21;21;21;21;21	6060340;6062524;6066867;6066969;6067705;6073292;6073348;6073449;6074776;6074776;6075740;6076004;6076004;6076004;6076004	6060499;6062591;6067049;6067049;6068128;6073392;6073392;6073673;6074925;6074925;6075807;6076103;6076135;6076153;6076305	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1681	0
ENSG00000280095	21;21	6081193;6082202	6081284;6082585	+;+	476	0
ENSG00000280179	21;21;21;21;21;21;21	6084364;6084381;6085761;6087345;6087345;6089196;6091367	6085145;6087093;6087093;6087527;6088242;6089499;6091407	-;-;-;-;-;-;-	3973	0
ENSG00000275993	21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21	6111134;6111170;6112070;6112070;6112739;6112739;6116224;6116462;6116894;6117128;6117804;6118256;6118783;6119024;6119720;6120487;6121144	6111252;6111252;6112239;6112239;6112956;6112855;6116287;6116623;6117018;6117251;6118027;6118402;6118908;6119240;6120001;6120718;6123739	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4806	62
ENSG00000274790	21	6223480	6223580	-	101	0
ENSG00000275496	21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21	6228966;6228967;6230399;6230666;6230696;6232566;6232597;6234983;6234983;6234983;6234983;6234983;6235989;6235989;6254791;6267135;6267135;6267135;6267135;6267135;6267135	6230951;6230951;6230951;6230951;6230951;6232833;6232833;6235147;6235147;6235147;6235147;6235192;6236160;6236160;6254849;6267317;6267280;6267275;6267278;6267313;6267304	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2878	0
ENSG00000280019	21;21;21;21;21;21;21;21;21;21	6272135;6272782;6272967;6273922;6274151;6274937;6275273;6275867;6276087;6276377	6272164;6272880;6273026;6274032;6274249;6275041;6275371;6276013;6276203;6276532	-;-;-;-;-;-;-;-;-;-	1023	0
ENSG00000279709	21;21;21;21;21;21	6309161;6309700;6310672;6311466;6311679;6312837	6309304;6309816;6310779;6311556;6311847;6312948	+;+;+;+;+;+	741	0
ENSG00000278903	21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21	6318434;6318440;6318495;6318495;6320872;6320872;6321164;6322600;6329548;6354264;6354358;6354358;6356688;6358555;6358555;6358555;6358577;6358741	6318604;6318604;6318604;6318604;6320974;6320974;6321717;6322697;6329607;6354522;6354522;6354522;6356986;6359184;6358574;6360415;6358738;6359767	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3405	0
ENSG00000276902	21	6365955	6366055	+	101	0
ENSG00000274276	21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21	6444869;6444869;6444869;6444869;6444873;6445433;6445540;6447132;6447261;6447736;6447736;6448481;6448481;6448481;6448481;6448481;6448481;6448481;6449823;6449823;6449823;6449823;6449823;6449823;6449823;6450512;6450512;6450512;6450512;6450512;6450512;6450512;6450904;6450904;6450904;6450904;6450904;6450904;6452119;6452119;6452119;6452119;6452119;6452119;6453989;6453989;6453989;6453989;6453989;6453989;6454631;6454631;6454631;6454631;6454631;6454631;6455578;6455578;6455578;6455578;6455578;6455578;6456880;6456881;6456881;6456881;6456881;6456881;6456881;6457065;6457065;6457065;6457065;6457065;6457065;6457065;6457294;6457294;6457294;6457294;6457294;6457294;6457294;6457901;6457921;6457921;6457921;6457921;6457921;6457921;6457921;6459456;6459456;6460187;6460187;6460187;6460187;6460187;6460187;6460187;6461658;6463663;6463663;6463663;6463663;6463663;6463663;6464944;6464944;6464944;6464944;6464944;6464944;6467448;6467448;6467448;6467448;6467448;6467903;6467903	6445325;6445661;6445661;6445661;6445661;6445661;6445661;6447772;6447579;6447777;6447777;6448565;6448565;6448565;6448565;6448565;6448565;6448565;6449931;6449931;6449931;6449931;6449931;6449931;6449931;6450632;6450646;6450646;6450646;6450646;6450646;6450646;6450981;6450981;6450981;6450981;6450981;6450981;6452224;6452224;6452224;6452224;6452224;6452224;6454073;6454073;6454073;6454073;6454073;6454073;6454756;6454756;6454756;6454756;6454756;6454756;6455669;6455669;6455669;6455669;6455669;6455669;6456950;6456950;6456950;6456950;6456950;6456950;6456950;6457199;6457199;6457199;6457199;6457199;6457199;6457199;6457373;6457373;6457373;6457373;6457373;6457373;6457373;6458055;6458055;6458055;6458055;6458055;6458055;6458055;6458055;6459638;6460082;6460293;6460293;6460293;6460293;6460293;6460293;6460293;6461713;6463879;6463879;6463879;6463879;6463879;6463879;6465019;6465019;6465019;6465019;6465019;6464981;6467483;6467534;6467532;6467532;6467509;6468040;6468040	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4004	0
ENSG00000275895	21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21	6484623;6484623;6484623;6484626;6484630;6484661;6484709;6484855;6486138;6486138;6486138;6486138;6486138;6486138;6486138;6486322;6486322;6486322;6486322;6486322;6486322;6486322;6486322;6487107;6487107;6487107;6487107;6487107;6487107;6487363;6487363;6487363;6487363;6487363;6487363;6487371;6489291;6492130;6492131;6492131;6492131;6492131;6492131;6492255;6493044;6493044;6493044;6493044;6495993;6495993;6495993;6495993;6495993;6495993;6495993;6499129;6499129;6499129;6499129;6499129;6499129	6484916;6484916;6484916;6484916;6486230;6484916;6484916;6484916;6486230;6486230;6486230;6486230;6486230;6486230;6486230;6486455;6486455;6486455;6486455;6488059;6486455;6486455;6487612;6487205;6487205;6487205;6487205;6487205;6487205;6487412;6487412;6487412;6487412;6487412;6487412;6487412;6493110;6492197;6492197;6496080;6492197;6492197;6492197;6492292;6493585;6493110;6493110;6493110;6496080;6496154;6496080;6496080;6496080;6496080;6496930;6499202;6499204;6499202;6499261;6499202;6499200	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	11119	0
ENSG00000280346	21	6507017	6507389	-	373	0
ENSG00000279226	21	6520344	6520670	-	327	0
ENSG00000278927	21;21;21	6550749;6552767;6553770	6551450;6552930;6553955	-;-;-	1052	0
ENSG00000276076	21;21;21;21;21;21;21;21;21;21;21	6560714;6561284;6561911;6561954;6562201;6562201;6562201;6563755;6563755;6563755;6563755	6560971;6561537;6562323;6562093;6562323;6562323;6562323;6564203;6564489;6564084;6563978	+;+;+;+;+;+;+;+;+;+;+	1660	0
ENSG00000280145	21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21	6630182;6630182;6630182;6631798;6632153;6632363;6634358;6634604;6634604;6634604;6634604;6634604;6635611;6659519;6659519;6659519;6666429;6667304;6668152;6668152;6670522;6670522;6670522;6670522;6670522	6630570;6632437;6630570;6632437;6632437;6632437;6634768;6634768;6634768;6634768;6634768;6638337;6635776;6659578;6659578;6659740;6666526;6667962;6668254;6668243;6670695;6670611;6670642;6670692;6670650	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7492	0
ENSG00000278878	21;21;21;21;21	6667304;6667710;6668152;6670522;6670522	6667962;6668254;6668243;6670650;6670667	-;-;-;-;-	1097	0
ENSG00000279788	21;21;21;21;21;21;21;21;21	6676178;6676377;6677311;6677571;6678348;6678660;6679281;6679545;6679812	6676299;6676454;6677445;6677661;6678450;6678789;6679410;6679635;6679962	-;-;-;-;-;-;-;-;-	1031	0
ENSG00000279728	21;21;21;21;21;21;21;21	6712596;6712926;6713139;6713757;6714090;6714879;6716097;6716244	6712737;6713031;6713250;6713850;6714183;6714969;6716157;6716361	+;+;+;+;+;+;+;+	818	0
ENSG00000280164	21;21;21	6721812;6724259;6724393	6721991;6724293;6725209	+;+;+	1032	0
ENSG00000279998	21;21;21	6789592;6797730;6810857	6789706;6797785;6812297	+;+;+	1612	2
ENSG00000278955	21;21;21;21	6858539;6859038;6859171;6896995	6858643;6859216;6859256;6897263	+;+;+;+	593	0
ENSG00000280172	21	6897291	6899280	+	1990	0
ENSG00000279751	21;21	6904884;6906517	6905165;6906692	+;+	458	0
ENSG00000280018	21;21;21;21;21;21;21;21;21;21;21	6986450;6992110;6993157;6993499;6994374;6995222;6995222;6995222;6997592;6997592;6997592	6986648;6992322;6993596;6993596;6995032;6995324;6995313;6995313;6997765;6997699;6997740	-;-;-;-;-;-;-;-;-;-;-	1788	0
ENSG00000279313	21;21;21	6994374;6995222;6997592	6995032;6995313;6997737	-;-;-	897	0
ENSG00000279477	21;21;21;21;21;21;21;21;21	7003248;7003443;7004463;7004640;7005411;7005726;7006380;7006611;7006881	7003365;7003509;7004517;7004730;7005522;7005858;7006494;7006701;7007022	-;-;-;-;-;-;-;-;-	924	0
ENSG00000278884	21;21	7020599;7024625	7020649;7025166	+;+	593	0
ENSG00000277067	21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21	7048891;7048917;7048920;7048939;7048982;7061347;7080036;7080036;7081004;7081049;7081049;7081049;7081049;7083363;7083363;7085245;7085245;7085245;7085245	7049060;7049060;7049060;7049060;7049060;7061405;7080289;7080207;7081213;7081213;7081213;7081213;7081213;7083742;7083598;7087229;7085797;7085500;7087097	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3058	0
ENSG00000274046	21	7092616	7092716	+	101	0
ENSG00000280330	21	7129103	7130287	+	1185	0
ENSG00000279303	21	7135334	7137789	-	2456	0
ENSG00000279647	21;21;21;21;21;21;21;21;21	7385058;7385229;7386240;7386420;7387197;7387506;7388130;7388391;7388670	7385142;7385289;7386294;7386510;7387299;7387638;7388259;7388481;7388799	-;-;-;-;-;-;-;-;-	879	0
ENSG00000279895	21;21;21;21;21;21;21;21;21;21	7421442;7421771;7421961;7422603;7422933;7423719;7423942;7424948;7425094;7425810	7421597;7421887;7422107;7422701;7423037;7423823;7424052;7425007;7425192;7425839	-;-;-;-;-;-;-;-;-;-	1029	0
ENSG00000276077	21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21	7430659;7430669;7430695;7430717;7430730;7430760;7443125;7461814;7461814;7462782;7462827;7462827;7462827;7462827;7462827;7463449;7465141;7465141;7467023;7467023;7467023;7467023;7467023	7430838;7430838;7430838;7430838;7430838;7430838;7443183;7461985;7462067;7462991;7462991;7462991;7462991;7462991;7462991;7463503;7465784;7465376;7469007;7467742;7467278;7468875;7467182	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3387	0
ENSG00000274484	21	7474394	7474494	+	101	0
ENSG00000279177	21	7626344	7627528	-	1185	0
ENSG00000276546	21	7663911	7664011	-	101	0
ENSG00000277991	21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21	7669397;7669530;7670167;7671127;7671873;7672755;7673074;7673217;7675414;7675414;7675414;7675414;7675414;7675414;7676144;7676338;7676338;7676420;7676426;7676426;7681597	7673264;7669659;7671382;7671382;7672054;7673264;7673264;7673264;7675578;7675578;7675578;7675578;7675666;7679177;7677935;7676592;7676444;7676592;7676627;7676591;7681742	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7778	0
ENSG00000273590	21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21	7744962;7744971;7744975;7744983;7745039;7745075;7748899;7748899;7748899;7748899;7748899;7748899;7748899;7754952;7754952;7754952;7754952;7754952;7758105;7758105;7769187;7769187;7769187;7771567;7771567;7774199;7777668	7745038;7745038;7745038;7745038;7745650;7745367;7748987;7748987;7748987;7748987;7748987;7748987;7749394;7755118;7755118;7756113;7755118;7755118;7758629;7758627;7769375;7769375;7769375;7772253;7772246;7774588;7777853	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4324	0
ENSG00000277277	21	7769796	7770546	-	751	0
ENSG00000278961	21;21	7788703;7793821	7789618;7793954	-;-	1050	0
ENSG00000276289	21;21;21;21;21;21;21;21;21;21;21	7816675;7816678;7819044;7819361;7825374;7828642;7828642;7828642;7829517;7829517;7829887	7819672;7819672;7819672;7819672;7825797;7828752;7828724;7828752;7829587;7829592;7829926	-;-;-;-;-;-;-;-;-;-;-	3649	0
ENSG00000273614	21	7826098	7826225	-	128	0
ENSG00000279967	21	8101251	8103706	-	2456	0
ENSG00000278996	21;21;21;21;21;21;21	8197620;8200738;8222961;8223185;8224347;8226174;8227180	8197927;8201052;8223057;8224185;8224438;8226391;8227646	+;+;+;+;+;+;+	2498	0
ENSG00000275950	21	8205315	8205406	+	92	0
ENSG00000275664	21	8205851	8205940	+	90	0
ENSG00000275708	21	8208473	8208652	+	180	0
ENSG00000277437	21	8208844	8208904	+	61	12
ENSG00000280800	21	8210384	8211306	-	923	0
ENSG00000278233	21	8212572	8212724	+	153	0
ENSG00000274060	21	8249505	8249596	+	92	0
ENSG00000277671	21	8250060	8250149	+	90	0
ENSG00000281383	21	8254592	8255514	-	923	0
ENSG00000277739	21	8256781	8256933	+	153	0
ENSG00000280441	21;21;21;21;21;21;21	8380665;8383784;8405960;8406184;8407346;8409173;8410179	8380972;8384098;8406056;8407184;8407437;8409390;8410645	+;+;+;+;+;+;+	2498	0
ENSG00000277379	21	8388362	8388453	+	92	0
ENSG00000274868	21	8388898	8388987	+	90	0
ENSG00000280614	21	8393419	8394341	-	923	0
ENSG00000275215	21	8395607	8395759	+	153	0
ENSG00000275692	21	8432530	8432621	+	92	0
ENSG00000278775	21	8433085	8433174	+	90	0
ENSG00000281181	21	8437629	8438551	-	923	0
ENSG00000278189	21	8439823	8439975	+	153	0
ENSG00000279990	21	8603547	8603984	+	438	0
ENSG00000279615	21	8680538	8680934	-	397	0
ENSG00000279167	21	8701461	8701562	+	102	0
ENSG00000279579	21;21;21;21	8759077;8759081;8761276;8761276	8759861;8759261;8761335;8761335	+;+;+;+	845	0
ENSG00000279213	21	8801362	8801880	-	519	0
ENSG00000280243	21	8845566	8846646	+	1081	0
ENSG00000278931	21;21;21;21;21;21;21;21;21	8857260;8859997;8864001;8866871;8866991;8873017;8877131;8878664;8880012	8857318;8860066;8864082;8866899;8867063;8873087;8877294;8878843;8880976	+;+;+;+;+;+;+;+;+	1693	6
ENSG00000264462	21	8986999	8987178	+	180	0
ENSG00000264063	21	8987370	8987430	+	61	0
ENSG00000279501	21;21	8996496;9018548	8996599;9018670	-;-	227	2
ENSG00000279414	21	9026821	9027329	-	509	10
ENSG00000280436	21;21	9053122;9058823	9053393;9059060	+;+	510	2
ENSG00000188681	21;21;21;21;21;21;21;21;21;21	9068361;9068414;9069445;9070214;9070214;9071128;9071609;9073095;9127489;9129683	9069599;9068629;9069599;9070444;9070444;9071248;9071682;9073609;9127547;9129752	-;-;-;-;-;-;-;-;-;-	2309	172
ENSG00000279720	21	9082601	9083101	-	501	12
ENSG00000279381	21	9088188	9088391	+	204	2
ENSG00000278932	21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21	9325013;9325024;9325039;9325052;9325059;9325367;9325605;9325631;9325874;9327240;9327240;9327240;9327240;9327240;9327240;9331231;9343508;9354231;9367174;9368466	9325100;9325223;9325223;9325100;9325100;9325823;9325823;9325823;9325961;9327777;9327298;9327299;9327299;9327298;9327298;9331290;9343532;9354319;9367275;9368775	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1880	86
ENSG00000279718	21	9364467	9365225	-	759	4
ENSG00000279208	21;21;21;21	9369285;9373947;9375508;9376352	9369326;9374166;9375719;9376645	-;-;-;-	768	8
ENSG00000279864	21	9558970	9559155	+	186	0
ENSG00000279211	21	9580024	9580415	-	392	0
ENSG00000275631	21	9646825	9647000	+	176	0
ENSG00000280081	21;21;21;21;21;21;21;21;21;21;21;21;21;21	9781918;9783248;9792555;9806094;9806875;9807735;9807735;9807735;9808174;9808174;9809067;9809673;9812427;9813837	9782304;9783305;9792642;9807102;9807102;9807820;9807974;9807974;9808361;9808361;9809181;9809723;9812602;9814009	-;-;-;-;-;-;-;-;-;-;-;-;-;-	2485	0
ENSG00000280075	21	9810381	9810503	-	123	0
ENSG00000279783	21	9810501	9810848	+	348	0
ENSG00000264002	21	9902344	9902627	-	284	0
ENSG00000252199	21	9907916	9908010	+	95	0
ENSG00000279321	21;21;21;21;21	9913117;9913361;9914093;9914407;9914407	9913506;9913506;9914182;9914713;9914846	+;+;+;+;+	920	0
ENSG00000270533	21;21;21;21;21;21;21;21;21;21;21;21	9975017;9986147;9988155;9988526;9992166;9996822;9997487;9997746;9997959;10002085;10002917;10119241	9975104;9986340;9988318;9988661;9992259;9996991;9998033;9997846;9998048;10002284;10003095;10119309	-;-;-;-;-;-;-;-;-;-;-;-	1856	44
ENSG00000280372	21	10028361	10029855	-	1495	0
ENSG00000279851	21;21	10122273;10127148	10122332;10129029	+;+	1942	0
ENSG00000279062	21	10136419	10137004	+	586	0
ENSG00000277693	21;21;21;21;21;21	10328411;10328936;10338455;10340414;10342616;10342616	10329038;10329038;10338566;10340478;10342737;10342669	-;-;-;-;-;-	927	0
ENSG00000275945	21	10330732	10331537	+	806	10
ENSG00000275592	21;21	10357400;10357955	10357636;10358620	+;+	903	0
ENSG00000278106	21	10397644	10397778	+	135	0
ENSG00000187172	21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21	10413477;10413532;10414811;10414811;10451427;10454134;10454134;10462836;10462836;10464862;10464862;10473010;10473028;10482740;10482740;10485618;10485618;10491246;10491246;10491540;10491540;10496913;10497355;10498857;10499475;10500807;10514122;10516318	10413754;10413754;10414911;10414911;10452529;10454296;10454296;10463007;10463007;10464976;10464976;10473729;10473729;10482859;10482859;10485734;10485734;10491347;10491347;10491644;10491615;10497099;10497519;10498966;10499540;10501019;10514250;10516431	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4080	42
ENSG00000273840	21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21	10482738;10485618;10491246;10491540;10496913;10497355;10498857;10499475;10500807;10514122;10516318;10524580;10527355;10538681;10541112;10542395;10552657;10559494;10561030;10567670;10569437;10569683;10570485;10577460;10578337;10578517;10590462;10592293;10598015;10602058;10603562;10605417	10482859;10485734;10491347;10491644;10497109;10497519;10498986;10499540;10501019;10514250;10516437;10524688;10527412;10538734;10541165;10542448;10552716;10559544;10561191;10567789;10569536;10569746;10570549;10577520;10578418;10578605;10590523;10592373;10598094;10602150;10603632;10605716	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3336	0
